,max_depth,max_features,acc,f1,roc
41,20.0,2,0.9710000000000001,0.9733562775198855,0.9952320850067917
42,20.0,4,0.9692000000000001,0.9717125928560583,0.9951226106961647
43,20.0,6,0.9694,0.9718880772156014,0.9952526449501699
44,20.0,8,0.9663999999999999,0.9690543332915164,0.9946061658567116
45,20.0,12,0.9676,0.970150687668724,0.994005064888858
46,20.0,16,0.969,0.9714064808019242,0.9941624862474893
47,20.0,20,0.9686,0.9710432977136595,0.9934182133212799
48,30.0,1,0.9712,0.9734965992839596,0.9931582555271101
49,30.0,2,0.9704,0.9727612042506205,0.9939818401175294
50,30.0,4,0.9709999999999999,0.9732849665056851,0.994049131443885
51,30.0,6,0.9703999999999999,0.9727474086691485,0.9943839525939909
52,30.0,8,0.9696,0.972051591874196,0.9941891269478678
53,30.0,12,0.968,0.9705115770631825,0.993536968265977
54,30.0,16,0.9687999999999999,0.9712687398908008,0.9931468839349359
55,30.0,20,0.9692000000000001,0.9716139702159481,0.9930538479361252
56,,1,0.9718,0.9740416491465951,0.9929581327741619
57,,2,0.9712,0.9735080866923989,0.9935966476289734
58,,4,0.9693999999999999,0.9718340511387689,0.994215718115002
59,,6,0.9687999999999999,0.9713230613188527,0.9940748546135364
60,,8,0.9696,0.972076587273178,0.9942567693975752
61,,12,0.9687999999999999,0.9712857278039231,0.994139645237697
62,,16,0.9690000000000001,0.9714658994576233,0.9938211194313611
63,,20,0.9692000000000001,0.9716201876366451,0.9933726805802768
0,2.0,1,0.752,0.0,0.8075379632807138
1,2.0,2,0.7538,0.01431798974554344,0.8142029855868221
2,2.0,4,0.772,0.17969401109955166,0.8215983184625942
3,2.0,6,0.7858,0.283181806495078,0.8259657043582704
4,2.0,8,0.789,0.3215330534985459,0.8222433725120111
5,2.0,12,0.794,0.3647344078151858,0.828530370624571
6,2.0,16,0.7982,0.400258274265621,0.828623670212766
7,2.0,20,0.8016,0.42255912016750463,0.8257501501372684
8,4.0,1,0.7622,0.08376142416390558,0.8310564301647221
9,4.0,2,0.7876,0.2868228794699977,0.8405778140013727
10,4.0,4,0.8119999999999999,0.43805003722314223,0.8513297872340425
11,4.0,6,0.8182,0.4929640251085326,0.8542193934454358
12,4.0,8,0.8215999999999999,0.5079903160766175,0.8581111659231297
13,4.0,12,0.8245999999999999,0.5246229203382677,0.8596012783115992
14,4.0,16,0.8230000000000001,0.5212647481553222,0.8638158459162664
15,4.0,20,0.8221999999999999,0.5189628686318063,0.8640190674330818
16,6.0,1,0.7862,0.27175740298795464,0.8486809368565545
17,6.0,2,0.8092,0.42105973448357076,0.8591776767330132
18,6.0,4,0.8308,0.5437352683263049,0.8681794783802333
19,6.0,6,0.8374,0.5698743031814966,0.8769925360329444
20,6.0,8,0.836,0.5687241016498297,0.8808666137611529
21,6.0,12,0.8524,0.6253788286074473,0.8879697151681537
22,6.0,16,0.8670000000000002,0.6712675712015646,0.8935928920727523
23,6.0,20,0.8704000000000001,0.6816427001229384,0.8963618522649279
24,8.0,1,0.8028000000000001,0.37860675714575776,0.8665783716540837
25,8.0,2,0.829,0.5201235576550864,0.8757120796156486
26,8.0,4,0.841,0.5803803063375198,0.8889348833218943
27,8.0,6,0.8493999999999999,0.6156717988022461,0.897779040837337
28,8.0,8,0.8634000000000001,0.6609471499171743,0.9049652539464654
29,8.0,12,0.8748000000000001,0.696925631257254,0.9173751715854497
30,8.0,16,0.8822000000000001,0.7180230234611623,0.9194449210706932
31,8.0,20,0.891,0.738034902094833,0.9248509351407002
32,16.0,1,0.8532,0.624663767395528,0.9073712036719288
33,16.0,2,0.8648,0.6716180425755759,0.9157783544955388
34,16.0,4,0.8859999999999999,0.7346260155414018,0.9290440545641729
35,16.0,6,0.8998000000000002,0.7720330123829273,0.9377697108785175
36,16.0,8,0.9046,0.7855228523034506,0.9396533973919012
37,16.0,12,0.9128000000000001,0.8054244542072603,0.9411225978037063
38,16.0,16,0.9146000000000001,0.8102302355772553,0.940903290150995
39,16.0,20,0.9154,0.8124564672005914,0.9396705559368567
40,20.0,1,0.8565999999999999,0.6407089400682356,0.9124887397048731
41,20.0,2,0.8704000000000001,0.686607199621416,0.9176979667124229
42,20.0,4,0.8846,0.7297845098772676,0.9307979795813315
43,20.0,6,0.8992000000000001,0.7725628106170968,0.9376517458819492
44,20.0,8,0.9040000000000001,0.7855720423176686,0.939493608442004
45,20.0,12,0.9102,0.8001265905700308,0.9403064945092657
46,20.0,16,0.9161999999999999,0.8137150006017076,0.9415199253603295
47,20.0,20,0.916,0.8132009255603562,0.9405140056623198
48,30.0,1,0.8573999999999999,0.6401029170498671,0.9120356468771448
